@relation tables

@attribute maxHorizontalSimilarity numeric
@attribute maxVerticalSimilarity numeric
@attribute avgHorizontalSimilarity numeric
@attribute avgVerticalSimilarity numeric
@attribute diffMaxSimilarity numeric
@attribute diffAvgSimilarity numeric
@attribute geniune {true,     false}
@attribute orientation {horizontal,     vertical,     none}

@data
0.388889,     0.847222,     0.342669,     0.474834,     -0.458333,     -0.132165,      true,     horizontal
0.259921,     0.524793,     0.244877,     0.430539,     -0.264873,     -0.185662,   	true,     horizontal
0.276508,     0.472222,     0.247302,     0.346714,     -0.195714,     -0.099412,    false,     none
0.351852,     0.604663,     0.338421,     0.416427,     -0.252811,     -0.078007,      false,     none
0.5,     0.654421,     0.467196,     0.55307,     -0.154421,     -0.085874,     	 true,     horizontal
0.34375,     0.660905,     0.337776,     0.49166,     -0.317155,     -0.153884,       false,     none
0.388889,     0.68,     0.361111,     0.54,     -0.291111,     -0.178889,     				false,     none
0.335436,     1,     0.328036,     0.531796,     -0.664564,     -0.203759,    		   true,     horizontal
0.26,     0.887543,     0.21652,     0.419056,     -0.627543,     -0.202536,     	   false,     none
0.313157,     0.369664,     0.310043,     0.351793,     -0.056508,     -0.04175,      false,     none
0.34375,     0.357143,     0.323411,     0.339566,     -0.013393,     -0.016154,       false,     none
0.320536,     0.369664,     0.315641,     0.350948,     -0.049129,     -0.035308,     true,     horizontal
0.25,     0.620907,     0.25,     0.482978,     -0.370907,     -0.232978,     		   true,     horizontal
0.399874,     0.882813,     0.382685,     0.56587,     -0.482939,     -0.183185,    		false,     none
1,     0.922857,     0.679012,     0.596429,     0.077143,     0.082584,     		   false,     none
0.333333,     0.966667,     0.333333,     0.671225,     -0.633333,     -0.337892,      true,     horizontal
0.410586,     0.408809,     0.317815,     0.367771,     0.001777,     -0.049956,     true,     horizontal
0.411761,     0.571485,     0.290939,     0.424583,     -0.159724,     -0.133643,   false,     none
0.636364,     0.282222,     0.450654,     0.276662,     0.354141,     0.173992,      false,     none
1,     0.579365,     0.778426,     0.449735,     0.420635,     0.32869,     			false,     none
0.388889,     1,     0.287415,     0.739709,     -0.611111,     -0.452294,     		 true,     horizontal
0.28,     0.721167,     0.215519,     0.269024,     -0.441167,     -0.053505,     	 true,     horizontal
0.45491,     0.191415,     0.358672,     0.140021,     0.263496,     0.218651,     			false,     none
0.349794,     0.68,     0.33472,     0.389188,     -0.330206,     -0.054469,     	   true,     horizontal
0.232308,     0.722222,     0.223636,     0.524306,     -0.489915,     -0.30067,    	false,     none
1,     0,     0.646635,     ?,     1,     ?,     									 false,     none
0.399194,     0.270249,     0.37697,     0.164576,     0.128944,     0.212394,     		false,     none
0.422222,     1,     0.422222,     0.614994,     -0.577778,     -0.192772,     			false,     none
